Generation,Avg_Population_Fitness,Avg_Population_Capacity,Active_Gene_Count,Best_Fitness_Score
1.0,1100.65,234.4,1756.0,6.0
2.0,1386.45,227.8,1756.0,6.0
3.0,1602.25,188.4,1756.0,6.0
4.0,1736.35,144.5,1756.0,6.0
5.0,1756.0,138.0,1756.0,6.0
6.0,1756.0,138.0,1756.0,6.0
7.0,1756.0,138.0,1756.0,6.0
8.0,1756.0,138.0,1756.0,6.0
9.0,1756.0,138.0,1756.0,6.0
10.0,1756.0,138.0,1756.0,6.0
11.0,1756.0,138.0,1756.0,6.0
12.0,1756.0,138.0,1756.0,6.0
13.0,1756.0,138.0,1756.0,6.0
14.0,1756.0,138.0,1756.0,6.0
15.0,1756.0,138.0,1756.0,6.0
16.0,1756.0,138.0,1756.0,6.0
17.0,1756.0,138.0,1756.0,6.0
18.0,1756.0,138.0,1756.0,6.0
19.0,1756.0,138.0,1756.0,6.0
20.0,1756.0,138.0,1756.0,6.0
21.0,1756.0,138.0,1756.0,6.0
22.0,1756.0,138.0,1756.0,6.0
23.0,1756.0,138.0,1756.0,6.0
24.0,1756.0,138.0,1756.0,6.0
25.0,1756.0,138.0,1756.0,6.0
26.0,1756.0,138.0,1756.0,6.0
27.0,1756.0,138.0,1756.0,6.0
28.0,1756.0,138.0,1756.0,6.0
29.0,1756.0,138.0,1756.0,6.0
